title,projectname,builder,price,per_sqft,area,status,place,rating
4  BHK  Villa,APR Praveens Hillside,APR Group,36900000,"12,000 / sq ft",3075,Under Construction,Bachupally,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,8818000,"5,599 / sq ft",1575,Under Construction,Kompally,0.0
3  BHK  Apartment,,seller,10300000,"5,498 / sq ft",1885,Under Construction,Kokapet,
3  BHK  Apartment,,seller,8175000,"5,000 / sq ft",1635,Ready to move,Alwal,
2  BHK  Apartment,Ar Anmol Alpine Square,AR Anmol Developers,4982000,"5,300 / sq ft",940,Under Construction,Patancheru,0.0
3  BHK  Apartment,Om Sree Brilliance,Om Sree Builders And Developers,13300000,"6,100 / sq ft",2195,Under Construction,Sainikpuri,0.0
4  BHK  Villa,Elemental Village,Elemental Realty,16399999,"7,700 / sq ft",2130,Under Construction,Patancheru,0.0
Residential Plot,Alekhya NSR County Phase II,Alekya Infraa Developers,5000000,"2,777 / sq ft",1800,New,Sangareddy,0.0
3  BHK  Apartment,Hallmark Skyrena,Hallmark Builders,11600000,"7,099 / sq ft",1635,Under Construction,Narsingi,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,11700000,"6,700 / sq ft",1750,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Sukhii Ubuntu,Sukhii Group,14400000,"7,599 / sq ft",1905,Under Construction,Nanakramguda,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10400000,"5,500 / sq ft",1900,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,IRA Aspiration,Ira Reality,8611000,"5,399 / sq ft",1595,Under Construction,Kollur,0.0
3  BHK  Apartment,IRA Miracle,Ira Reality,8769000,"5,299 / sq ft",1655,Under Construction,Kollur,0.0
5  BHK  Apartment,Aliens Space Station,M Kartheek,39300000,"7,199 / sq ft",5467,Under Construction,Tellapur,0.0
5  BHK  Apartment,Aliens Space Station,M Kartheek,42900000,"7,199 / sq ft",5962,Under Construction,Tellapur,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,6773999,"5,599 / sq ft",1210,Under Construction,Kompally,0.0
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,15500000,"6,499 / sq ft",2400,Under Construction,Gopanpally,0.0
4  BHK  Independent House,Mahaveer Palm Grove,Mahaveer Group,28000000,"7,800 / sq ft",3600,Under Construction,Begumpet,0.0
Residential Plot,Alekhya Amara County,Alekya Infraa Developers,4800000,"1,777 / sq ft",2700,New,Aroor,0.0
2  BHK  Apartment,,Maaruthi Group,3500000,"3,500 / sq ft",1000,Ready to move,Pragathi Nagar Kukatpally,0.0
2  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,9457000,"6,803 / sq ft",1390,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,13600000,"7,499 / sq ft",1825,Under Construction,Attapur,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,46300000,"12,000 / sq ft",3865,Under Construction,Bachupally,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,9546000,"5,599 / sq ft",1705,Under Construction,Kompally,0.0
3  BHK  Apartment,,seller,7500000,"12,500 / sq ft",600,Ready to move,Alwal,
4  BHK  Villa,,seller,7500000,"3,750 / sq ft",2000,Under Construction,Patancheru,
3  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,9977000,"6,500 / sq ft",1535,Under Construction,Saroor Nagar,0.0
2  BHK  Apartment,SVC SVC Indraprastha,SVC Constructions,8154000,"5,400 / sq ft",1510,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,Makuta Projects My Space 2,Makuta Developers,14800000,"5,990 / sq ft",2485,Under Construction,Bachupally,0.0
4  BHK  Villa,Riddhi Laxman County,Riddhi Group,32599999,"7,200 / sq ft",4540,Under Construction,Tukkuguda,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,40800000,"12,000 / sq ft",3400,Under Construction,Bachupally,0.0
Residential Plot,Alekhya NSR County Phase I,Alekya Infraa Developers,4250000,"2,777 / sq ft",1530,New,Sangareddy,0.0
3  BHK  Apartment,Hallmark Skyrena,Hallmark Builders,11600000,"7,099 / sq ft",1635,Under Construction,Narsingi,0.0
3  BHK  Apartment,Hallmark Skyrena,Hallmark Builders,16000000,"7,099 / sq ft",2255,Under Construction,Narsingi,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,11700000,"6,700 / sq ft",1750,Under Construction,Manchirevula,0.0
2  BHK  Apartment,Risinia The Edge,Risinia Builders,6820999,"5,199 / sq ft",1312,Under Construction,Pragathi Nagar Kukatpally,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,9212000,"5,500 / sq ft",1675,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,9212000,"5,500 / sq ft",1675,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,IRA Aspiration,Ira Reality,11800000,"5,399 / sq ft",2195,Under Construction,Kollur,0.0
4  BHK  Villa,IRA Realty Hyderabad Elevate Villas,Ira Reality,73500000,"12,000 / sq ft",6125,Under Construction,Mamidipally,0.0
4  BHK  Villa,IRA Realty Hyderabad Elevate Villas,Ira Reality,73200000,"12,000 / sq ft",6105,Under Construction,Mamidipally,0.0
5  BHK  Apartment,Aliens Space Station,M Kartheek,42900000,"7,199 / sq ft",5962,Under Construction,Tellapur,0.0
4  BHK  Independent House,Aliens Space Station,M Kartheek,25600000,"7,199 / sq ft",3569,Under Construction,Tellapur,0.0
3  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,9742000,"5,599 / sq ft",1740,Under Construction,Kompally,0.0
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,16399999,"6,499 / sq ft",2525,Under Construction,Gopanpally,0.0
3  BHK  Apartment,Vajram IXORA,Vajram Constructions,15500000,"6,499 / sq ft",2395,Under Construction,Gopanpally,0.0
4  BHK  Independent House,Mahaveer Palm Grove,Mahaveer Group,28000000,"7,800 / sq ft",3600,Under Construction,Begumpet,0.0
2  BHK  Apartment,Svadha Mackennas,SVADHA BUILDERS,6781999,"5,299 / sq ft",1280,Under Construction,Kollur,0.0
